fetch_timestamp,date,count,uniques
2026-01-23T15:24:04.540175,2026-01-09,1,1
2026-01-23T15:24:04.540175,2026-01-10,0,0
2026-01-23T15:24:04.540175,2026-01-11,0,0
2026-01-23T15:24:04.540175,2026-01-12,4,1
2026-01-23T15:24:04.540175,2026-01-13,0,0
2026-01-23T15:24:04.540175,2026-01-14,3,3
2026-01-23T15:24:04.540175,2026-01-15,3,3
2026-01-23T15:24:04.540175,2026-01-16,16,1
2026-01-23T15:24:04.540175,2026-01-17,0,0
2026-01-23T15:24:04.540175,2026-01-18,0,0
2026-01-23T15:24:04.540175,2026-01-19,0,0
2026-01-23T15:24:04.540175,2026-01-20,4,1
2026-01-23T15:24:04.540175,2026-01-21,0,0
2026-01-23T15:24:04.540175,2026-01-22,0,0
